Gene,p_value,fold_change
201104_x_at,4.720708984848554e-11,1493.2476744186047
203034_s_at,2.588629517138453e-07,1492.2999999999997
212320_at,2.8075936806480026e-10,1489.8827906976749
217747_s_at,3.489537624787793e-08,1489.6194418604643
210774_s_at,1.9731990612684243e-05,1486.835813953489
221798_x_at,0.00043126225118594966,1486.8108139534884
207076_s_at,1.919987146717154e-06,1484.832976744185
201744_s_at,6.9187347915006245e-06,1484.6273488372092
201012_at,0.0002118790636629663,1484.1103023255814
215193_x_at,2.6236680706462876e-08,1481.7029534883723
217845_x_at,2.2456659654243703e-06,1480.8572093023254
201427_s_at,1.1768338787324166e-05,1480.348511627907
208944_at,9.169034363094576e-06,1476.1205348837202
214953_s_at,1.3121432079370042e-10,1473.004651162791
221067_s_at,4.606458942708763e-08,1470.9248837209307
212646_at,7.462404840544908e-08,1469.8023023255826
206488_s_at,0.006277177749367557,1469.6292093023267
221729_at,1.4801595064249074e-05,1469.0339069767447
214836_x_at,0.0016742579692438247,1469.0183488372088
200912_s_at,2.115039404847708e-08,1468.3595348837212
201973_s_at,2.3949724349129217e-09,1465.3358139534885
220161_s_at,1.8547766030508168e-08,1460.9825581395348
200774_at,7.553576052065444e-09,1460.538604651163
203282_at,8.964325485456798e-07,1457.4409069767441
221629_x_at,5.431680024097799e-12,1456.174372093023
201631_s_at,0.00012110884667423877,1453.7186046511638
206049_at,1.6147540883640203e-15,1453.567418604651
200803_s_at,1.6142190789094673e-09,1451.89234883721
212119_at,3.245818951834988e-06,1451.6434651162795
209613_s_at,0.0014545535467513815,1449.4759069767438
205021_s_at,4.2479911393064066e-07,1447.3683720930228
220547_s_at,3.661486759703865e-12,1445.3451162790689
212237_at,1.4661244907111366e-15,1444.602093023256
209138_x_at,0.0028322098107632127,1443.692279069768
201785_at,7.190715665451388e-06,1442.8870465116274
200012_x_at,3.211854018503593e-07,1440.8472790697683
210592_s_at,4.839601894327282e-07,1439.998953488373
